"OTU" "name" "all" "AF_A" "AF_B" "AM_A" "AM_B" "AQ_A" "AQ_B" "AX_A" "AX_B" "BB_A" "BB_B" "BF_A" "BF_B" "BI_A" "BI_B" "BM_A" "BM_B" "BU_A" "BU_B" "BX_A" "BX_B"
"127" 127 "BI_B_41687_3_829*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"128" 128 "BI_A_1595_3_252*" 45 0 0 0 0 0 0 0 0 0 0 0 0 11 25 0 0 2 2 3 2
"129" 129 "BI_B_27504_3_79*" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"130" 130 "BI_B_43585_3_917*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"131" 131 "BI_B_9199_3_590*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"132" 132 "BI_A_6704_3_837*" 13 0 0 0 0 0 0 0 0 0 0 0 0 6 3 0 0 2 1 1 0
"133" 133 "BI_A_27106_3_130*" 9 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 1 0 0 0
"134" 134 "BI_A_12982_3_66*" 10 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 0 1 1 0 0
"135" 135 "BI_A_31835_3_881*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"136" 136 "BU_A_105332_4_888*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"137" 137 "BI_A_25593_3_434*" 11 0 0 0 0 0 0 0 0 0 0 0 0 4 5 0 0 1 0 1 0
"138" 138 "BU_A_106990_4_669*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"139" 139 "BI_B_49526_3_842*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"140" 140 "BU_A_113307_4_132*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"141" 141 "BU_B_154512_4_994*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"142" 142 "BI_A_7102_3_671*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"143" 143 "BI_B_37335_3_526*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"144" 144 "BU_B_158791_4_143*" 4 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 0 0
"145" 145 "BI_B_33214_3_982*" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0
"146" 146 "BI_A_25262_3_487*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"147" 147 "BI_A_27168_3_995*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"148" 148 "BI_A_1317_3_704*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"149" 149 "BI_A_16747_3_450*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"150" 150 "BU_B_165053_4_577*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"151" 151 "BI_A_4_3_323*" 11 0 0 0 0 0 0 0 0 0 0 0 0 8 2 0 0 1 0 0 0
"152" 152 "BI_B_31370_3_894*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"153" 153 "BI_A_24692_3_300*" 16 0 0 0 0 0 0 0 0 0 0 0 0 5 3 0 0 1 2 1 4
"154" 154 "BI_A_15683_3_542*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"155" 155 "BI_B_32945_3_283*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"156" 156 "BI_A_26205_3_49*" 12 0 0 0 0 0 0 0 0 0 0 0 0 4 7 0 0 0 0 0 1
"157" 157 "BI_A_25940_3_155*" 3 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0
"158" 158 "BI_A_23482_3_92*" 7 0 0 0 0 0 0 0 0 0 0 0 0 2 3 0 0 0 0 1 1
"159" 159 "BI_A_31150_3_687*" 5 0 0 0 0 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0
"160" 160 "BI_B_3402_3_845*" 9 0 0 0 0 0 0 0 0 0 0 0 0 6 2 0 0 0 0 0 1
"161" 161 "BI_B_22555_3_634*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"162" 162 "BI_A_15669_3_76*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"163" 163 "BI_A_12237_3_571*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"164" 164 "BI_A_26214_3_568*" 5 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 0 1 0
"165" 165 "BU_B_182295_4_1000*" 23 0 0 0 0 0 0 0 0 0 0 0 0 10 4 0 0 2 1 5 1
"166" 166 "BI_B_26105_3_577*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"167" 167 "BI_B_44601_3_299*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"168" 168 "BI_B_34256_3_710*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"169" 169 "BI_A_26375_3_109*" 18 0 0 0 0 0 0 0 0 0 0 0 0 4 10 0 0 0 0 4 0
"170" 170 "BI_A_29455_3_359*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"171" 171 "BI_B_20016_3_539*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"172" 172 "BU_B_168910_4_824*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"173" 173 "BI_B_38320_3_487*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"174" 174 "BI_B_36442_3_805*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"175" 175 "BU_A_118378_4_453*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"176" 176 "BI_A_23311_3_265*" 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"177" 177 "BU_A_103682_4_182*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"178" 178 "BI_A_11037_3_137*" 18 0 0 0 0 0 0 0 0 0 0 0 0 10 7 0 0 1 0 0 0
"179" 179 "BI_A_2053_3_259*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"180" 180 "BI_B_27930_3_432*" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"181" 181 "BX_B_29578_3_767*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"182" 182 "BX_B_25856_3_181*" 6 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 1 0 1
"183" 183 "BI_B_23841_3_828*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"184" 184 "BI_B_18228_3_564*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"185" 185 "BX_B_30463_3_541*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"186" 186 "BI_A_3294_3_1*" 97 0 0 0 0 0 0 0 0 0 0 0 0 24 58 0 0 5 1 2 7
"187" 187 "BI_A_19897_3_640*" 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"188" 188 "BI_A_14148_3_94*" 9 0 0 0 0 0 0 0 0 0 0 0 0 2 4 0 0 0 1 0 2
"189" 189 "BI_B_7774_3_163*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"190" 190 "BX_B_36654_3_502*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"191" 191 "BI_B_31224_3_601*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"192" 192 "BI_B_30860_3_714*" 4 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0
"193" 193 "BX_A_30041_3_721*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"194" 194 "BI_A_30512_3_500*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"195" 195 "BI_B_19547_3_525*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"196" 196 "BI_B_31869_3_322*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"197" 197 "BI_B_29365_3_513*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"198" 198 "BI_A_22269_3_64*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"199" 199 "BX_B_6283_3_231*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"200" 200 "BI_B_10921_3_618*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"201" 201 "BI_A_213_3_97*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"202" 202 "BX_B_9971_3_72*" 25 0 0 0 0 0 0 0 0 0 0 0 0 9 9 0 0 1 1 0 5
"203" 203 "BX_A_9120_3_531*" 6 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 1 1
"204" 204 "BU_B_169056_4_591*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"205" 205 "BX_B_19832_3_160*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"206" 206 "BI_B_46727_3_161*" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
